group_code,group_name,div_code,div_name,oax_subfield_id,oax_subfield_name,oax_field_id,oax_field_name,oax_domain_id,oax_domain_name
3001,Agricultural biotechnology,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
3002,"Agriculture, land and farm management",30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,1,Life Sciences
3003,Animal production,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,1,Life Sciences
3004,Crop and pasture production,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,1,Life Sciences
3005,Fisheries sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1104,Aquatic Science,11,Agricultural and Biological Sciences,1,Life Sciences
3006,Food sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1106,Food Science,11,Agricultural and Biological Sciences,1,Life Sciences
3007,Forestry sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1107,Forestry,11,Agricultural and Biological Sciences,1,Life Sciences
3008,Horticultural production,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1108,Horticulture,11,Agricultural and Biological Sciences,1,Life Sciences
3009,Veterinary sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,1,Life Sciences
3099,"Other agricultural, veterinary and food sciences",30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
3102,Bioinformatics and computational biology,31,BIOLOGICAL SCIENCES,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
3103,Ecology,31,BIOLOGICAL SCIENCES,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
3104,Evolutionary biology,31,BIOLOGICAL SCIENCES,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
3105,Genetics,31,BIOLOGICAL SCIENCES,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
3106,Industrial biotechnology,31,BIOLOGICAL SCIENCES,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
