cluster_id,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
DP0451043_SusanOConnor,12,Susan O'Connor,,The Australian National University; The University of Western Australia,Archaeology; Genetics,DP210101960_SusanOConnor; DP240100747_SusanOConnor; DP250104228_SusanOConnor; DP0878735_SusanOConnor; DP0878543_SusanOConnor; LP0776789_SusanOConnor; DP0556210_SusanOConnor; DP0451043_SusanOConnor; FL120100156_SusanOConnor; DP110101357_SusanOConnor; LP100200415_SusanOConnor; LP0882985_SusanOConnor,,
DP0559135_AlanWelsh,10,Alan Welsh,,The Australian National University; Bond University,Environmental Science and Management; Statistics,DP230101908_AlanWelsh; DP0881310_AlanWelsh; DP0559135_AlanWelsh; DP180100836_AlanWelsh; LP160100243_AlanWelsh; DP140101259_AlanWelsh; DP110101998_AlanWelsh; DP1092801_AlanWelsh; LP0989811_AlanWelsh; LP0883801_AlanWelsh,,
DP0451045_QuentinParker,5,Quentin Parker,,The Australian National University; Macquarie University,Astronomical and Space Sciences; Curriculum and Pedagogy,DP0772283_QuentinParker; DP0451045_QuentinParker; DP120104416_QuentinParker; DP120103751_QuentinParker; LP0989264_QuentinParker,,
DP0559004_GrahamSchaffer,5,Graham Schaffer,,The University of Queensland; The University of Melbourne; Swinburne University of Technology,Materials Engineering; Sociology,LP200301355_GrahamSchaffer; LP180100122_GrahamSchaffer; DP0559004_GrahamSchaffer; LP0455125_GrahamSchaffer; DP0986042_GrahamSchaffer,,
DP0556444_ChristinaWilliamson,5,Christina (Kirsty) Williamson; Christina Williamson,,Charles Sturt University; The University of New South Wales; Monash University,Information Systems; Law; Library and Information Studies,LP0348953_ChristinaWilliamson; LP0214129_ChristinaKirstyWilliamson; LP0667487_ChristinaWilliamson; LP0560807_ChristinaWilliamson; DP0556444_ChristinaWilliamson,,
LP0219314_JohnOToole,4,John O'Toole,,Griffith University; The University of Melbourne,Curriculum and Pedagogy; Performing Arts and Creative Writing; Specialist Studies In Education,LP0219314_JohnOToole; LP0776532_JohnOToole; LP0775023_JohnOToole; LP0562431_JohnOToole,,
DP0559655_DesleyConnell,4,Desley Connell,,Queensland University of Technology; The University of Queensland,Building; Other Chemical Sciences; Public Health and Health Services,LP0349155_DesleyConnell; DP0559655_DesleyConnell; LP0453669_DesleyConnell; DP1095752_DesleyConnell,,
DP0343998_AlexanderRubinov,3,Alexander Rubinov,,Federation University Australia; The University of New South Wales,Applied Mathematics; Architecture; Numerical and Computational Mathematics,DP0343998_AlexanderRubinov; DP0450151_AlexanderRubinov; LP0669752_AlexanderRubinov,,
DP0208102_KevinOConnor,3,Kevin O'Connor,,Griffith University; The University of Queensland; The University of Melbourne,Human Geography; Urban and Regional Planning,DP0208102_KevinOConnor; DP0773822_KevinOConnor; DP1094801_KevinOConnor,,
DP0556065_JenniferODea,3,Jennifer O'Dea,,The University of Sydney; The University of New South Wales,Cultural Studies; Public Health and Health Services,DP0667170_JenniferODea; DP0556065_JenniferODea; DP110105115_JenniferODea,,
DP110100881_TheodorusSloots,2,Theodorus Sloots,,The University of Sydney; The University of Queensland,Microbiology; Sociology,DP110100881_TheodorusSloots; LP0884126_TheodorusSloots,,
DP0343130_PaulYoung,28,Paul Young,,The University of Queensland; The University of Sydney; Monash University; The University of New South Wales,Artificial Intelligence and Image Processing; Biochemistry and Cell Biology; Chemical Engineering; Crop and Pasture Production; Evolutionary Biology; Fluid Mechanics and Thermal Engineering; Interdisciplinary Engineering; Medical Biotechnology; Medical Microbiology; Microbiology; Pharmacology and Pharmaceutical Sciences; Veterinary Sciences,LP200201026_PaulYoung; LP190100938_PaulYoung; LP230200649_PaulYoung; DP0343130_PaulYoung; DP0881708_PaulYoung; DP0879906_PaulYoung; LP0776892_PaulYoung; LP0775441_PaulYoung; LP0668437_PaulYoung; LP0453692_PaulYoung; DP0452362_PaulYoung; DP180103362_PaulYoung; DP190102614_PaulYoung; LP160101845_PaulYoung; LP160100427_PaulYoung; DP160100588_PaulYoung; LP140100181_PaulYoung; DP150100865_PaulYoung; LP130101123_PaulYoung; LP120200744_PaulYoung; FT110100996_PaulYoung; DP120103510_PaulYoung; LP120100626_PaulYoung; DP120100251_PaulYoung; LP100200156_PaulYoung; LP100100451_PaulYoung; LP0989701_PaulYoung; DP0987010_PaulYoung,True,At least 3 distinct people by inst+field: (1) UQ virologist (Biochemistry/Microbiology/Veterinary/Evolutionary Bio); (2) USyd pharmacologist (Pharmacology/Chemical Eng — includes FT110100996 fellowship); (3) Monash engineer (Interdisciplinary Engineering/Fluid Mechanics). UNSW grants (DP190102614/LP200201026 Crop+Pasture) may be a 4th person. Split by institution will separate UQ/USyd/Monash/UNSW groups.
