organisationName_alias,organisationName,HEP,state,institution_arc,institution_name,institution_id,hep_code
AINSE Limited,AINSE Limited,,NSW,,,,
ANZCCART University of Adelaide,ANZCCART University of Adelaide,,SA,,,,
Academy of the Social Sciences in Australia,Academy of the Social Sciences in Australia,,ACT,,,,
Anglo Australian Observatory,Australian Astronomical Observatory,,NSW,,,,
Anglo+AC0-Australian Observatory,Australian Astronomical Observatory,,NSW,,,,
Australian Academy of Science,Australian Academy of Science,,ACT,,,,
Australian Academy of Technological Sciences and E,Australian Academy of Technological Sciences and Engineering,,VIC,,,,
Australian Academy of Technological Sciences and Engineering,Australian Academy of Technological Sciences and Engineering,,VIC,,,,
Australian Academy of Technological Sciences and Engineering,Australian Academy of Technological Sciences and Engineering,,VIC,,,,
Australian Academy of the Humanities,Australian Academy of the Humanities,,ACT,,,,
Australian Antarctic Division (AAD),Australian Antarctic Division,,TAS,,,,
Australian Astronomical Observatory,Australian Astronomical Observatory,,NSW,Australian Astronomical Observatory,Australian Astronomical Observatory,https://openalex.org/I2802629923,
Australian Catholic University,Australian Catholic University,y,NSW,Australian Catholic University,Australian Catholic University,https://openalex.org/I86695891,ACU
Australian Council of Learned Academies Secretariat Ltd,Australian Council of Learned Academies,,VIC,,,,
Australian Institute of Marine Science,Australian Institute of Marine Science,,QLD,The Australian Institute of Marine Science,Australian Institute of Marine Science,https://openalex.org/I1328540965,
Australian Institute of Nuclear Science and Engineering,AINSE Limited,,NSW,,,,
Australian Institute of Nuclear Science and Engineering (AINSE),AINSE Limited,,NSW,,,,
Australian Maritime College,University of Tasmania,y,TAS,University of Tasmania,University of Tasmania,https://openalex.org/I129801699,UTAS
Australian Nuclear Science and Technology Organisation,Australian Nuclear Science and Technology Organisation,,NSW,Australian Nuclear Science and Technology Organisation,Australian Nuclear Science and Technology Organisation,https://openalex.org/I1334950195,
Australian Stem Cell Centre,Australian Stem Cell Centre,,VIC,,,,
Baker IDI Heart and Diabetes Institute,Baker IDI Heart and Diabetes Institute,,VIC,,,,
Batchelor Institute of Indigenous Tertiary Education,Batchelor Institute of Indigenous Tertiary Education,y,NT,Batchelor Institute of Indigenous Tertiary Education,Batchelor Institute of Indigenous Tertiary Education,https://openalex.org/I185085129,BAT
Bond University,Bond University,y,QLD,Bond University,Bond University,https://openalex.org/I120125038,BOND
Botanic Gardens and Parks Authority,Botanic Gardens and Parks Authority,,WA,,,,
Brain Research Institute Pty Ltd,CSIRO,,ACT,,,,
CSIRO +AC0- Atmospheric Research,CSIRO,,ACT,,,,
CSIRO +AC0- Australia Telescope National Facility,CSIRO,,ACT,,,,
CSIRO +AC0- Health Sciences and Nutrition,CSIRO,,ACT,,,,
CSIRO +AC0- Mathematical +ACY- Information Sciences,CSIRO,,ACT,,,,
CSIRO +AC0- Molecular Science,CSIRO,,ACT,,,,
CSIRO +AC0- Petroleum Resources,CSIRO,,ACT,,,,
CSIRO +AC0- Plant Industry,CSIRO,,ACT,,,,
Central Queensland University,Central Queensland University,y,QLD,Central Queensland University,Central Queensland University,https://openalex.org/I74899385,CQU
Charles Darwin University,Charles Darwin University,y,NT,Charles Darwin University,Charles Darwin University,https://openalex.org/I29894533,CDU
Charles Sturt University,Charles Sturt University,y,NSW,Charles Sturt University,Charles Sturt University,https://openalex.org/I153230381,CSU
Commonwealth Scientific and Industrial Research Organisation,CSIRO,,ACT,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/I1292875679,
Commonwealth Scientific and Industrial Research Organisation (CSIRO),CSIRO,,ACT,,,,
Curtin University,Curtin University,y,WA,Curtin University,Curtin University,https://openalex.org/I205640436,CUR
Curtin University of Technology,Curtin University,y,WA,Curtin University,Curtin University,https://openalex.org/I205640436,CUR
Deakin University,Deakin University,y,VIC,Deakin University,Deakin University,https://openalex.org/I149704539,DEA
Edith Cowan University,Edith Cowan University,y,WA,Edith Cowan University,Edith Cowan University,https://openalex.org/I12079687,ECU
Federation University Australia,Federation University Australia,y,VIC,Federation University Australia,Federation University,https://openalex.org/I149672521,FED
Flinders University,Flinders University,y,SA,Flinders University,Flinders University,https://openalex.org/I169541294,FLI
Garvan Institute of Medical Research,Garvan Institute of Medical Research,,NSW,Garvan Institute of Medical Research,Garvan Institute of Medical Research,https://openalex.org/I136750679,
Griffith University,Griffith University,y,QLD,Griffith University,Griffith University,https://openalex.org/I11701301,GU
Howard Florey Institute,Howard Florey Institute,,VIC,,,,
Howard Florey Institute ,Howard Florey Institute,,VIC,,,,
Howard Florey Institute of Experimental Physiology and Medicine,Howard Florey Institute,,VIC,,,,
James Cook University,James Cook University,y,QLD,James Cook University,James Cook University,https://openalex.org/I86467917,JCU
Hudson Institute of Medical Research,Hudson Institute of Medical Research,,VIC,Hudson Institute of Medical Research,Hudson Institute of Medical Research,https://openalex.org/I2802600346,
Juvenile Diabetes Research Foundation Australia,Juvenile Diabetes Research Foundation Australia,,NSW,,,,
La Trobe University,La Trobe University,y,VIC,La Trobe University,La Trobe University,https://openalex.org/I196829312,LTU
Ludwig Institute of Cancer Research,Ludwig Institute of Cancer Research,,VIC,,,,
Macfarlane Burnet Centre for Medical Research,Macfarlane Burnet Institute for Medical Research and Public Health,,VIC,Macfarlane Burnet Institute for Medical Research and Public Health Ltd.,Burnet Institute,https://openalex.org/I145902186,
Macfarlane Burnet Institute for Medical Research and Public Health,Macfarlane Burnet Institute for Medical Research and Public Health,,VIC,,,,
Macquarie University,Macquarie University,y,NSW,Macquarie University,Macquarie University,https://openalex.org/I99043593,MU
Mater Medical Research Institute,Mater Medical Research Institute,,QLD,Mater Research Institute,Mater Research,https://openalex.org/I4210092543,
Monash University,Monash University,y,VIC,Monash University,Monash University,https://openalex.org/I56590836,MON
Murdoch Childrens Research Institute,Murdoch Childrens Research Institute,,VIC,MURDOCH CHILDREN'S RESEARCH INSTITUTE,Murdoch Children's Research Institute,https://openalex.org/I4210150290,
Murdoch University,Murdoch University,y,WA,Murdoch University,Murdoch University,https://openalex.org/I176790772,MUR
Museum Victoria,Museum Victoria,,VIC,,,,
Museum of Western Australia,Museum of Western Australia,,WA,,,,
National Academies Forum,Australian Council of Learned Academies,,VIC,,,,
National ICT Australia,National ICT Australia,,NSW,,,,
National Stroke Research Institute,National Stroke Research Institute,,VIC,,,,
Northern Territory University,Charles Darwin University,y,NT,Charles Darwin University,Charles Darwin University,https://openalex.org/I29894533,CDU
Peter MacCallum Cancer Institute,Peter MacCallum Cancer Institute,,VIC,,,,
Queensland Institute of Medical Research,Queensland Institute of Medical Research,,QLD,,,,
Queensland University of Technology,Queensland University of Technology,y,QLD,Queensland University of Technology,Queensland University of Technology,https://openalex.org/I160993911,QUT
RMIT University,RMIT University,y,VIC,RMIT University,RMIT University,https://openalex.org/I82951845,RMIT
South Australian Museum,South Australian Museum,,SA,,,,
Southern Cross University,Southern Cross University,y,NSW,Southern Cross University,Southern Cross University,https://openalex.org/I66809481,SCU
St Vincent's Institute of Medical Research,St Vincent's Institute of Medical Research,,VIC,,,,
St Vincents Institute of Medical Research,St Vincent's Institute of Medical Research,,VIC,,,,
St. Vincent's Institute of Medical Research,St Vincent's Institute of Medical Research,,VIC,,,,
Swinburne University of Technology,Swinburne University of Technology,y,VIC,Swinburne University of Technology,Swinburne University of Technology,https://openalex.org/I57093077,SUT
The Australian Academy of the Humanities,Australian Academy of the Humanities,,ACT,,,,
The Australian Institute of Marine Science,Australian Institute of Marine Science,,QLD,,,,
The Australian Museum,The Australian Museum,,NSW,The Australian Museum,Australian Museum,https://openalex.org/I1328215151,
The Australian National University,The Australian National University,y,ACT,The Australian National University,Australian National University,https://openalex.org/I118347636,ANU
The Australian National University Institute of Advanced Studies,The Australian National University,y,ACT,The Australian National University,Australian National University,https://openalex.org/I118347636,ANU
The Bionic Ear Institute,The Bionic Ear Institute,,VIC,,,,
