for_name,division
"Aboriginal and Torres Strait Islander Culture, Language and History",W
Aboriginal and Torres Strait Islander Education,W
Aboriginal and Torres Strait Islander Environmental Knowledges and Management,W
Aboriginal and Torres Strait Islander Health and Wellbeing,W
"Aboriginal and Torres Strait Islander Peoples, Society and Community",W
Aboriginal and Torres Strait Islander Sciences,W
"Accounting, Auditing and Accountability",O
Aerospace Engineering,I
Agricultural Biotechnology,G
"Agriculture, Land and Farm Management",G
Analytical Chemistry,C
Animal Production,G
Anthropology,P
Applied Economics,N
Applied Ethics,V
Applied Mathematics,A
Applied and Developmental Psychology,Q
Archaeology,U
Architecture,L
"Art History, Theory and Criticism",S
Art Theory and Criticism,S
Artificial Intelligence,H
Artificial Intelligence and Image Processing,H
Astronomical Sciences,B
Astronomical and Space Sciences,B
Atmospheric Sciences,D
"Atomic, Molecular and Optical Physics",B
"Atomic, Molecular, Nuclear, Particle and Plasma Physics",B
Automotive Engineering,I
"Banking, Finance and Investment",O
Biochemistry and Cell Biology,F
Bioinformatics and Computational Biology,F
Biological Psychology,Q
Biomedical Engineering,I
Building,L
Business Systems In Context,O
Business and Management,O
Cardiorespiratory Medicine and Haematology,K
Chemical Engineering,I
Civil Engineering,I
Classical Physics,B
Climate Change Impacts and Adaptation,E
Climate Change Science,D
Clinical Sciences,K
Clinical and Health Psychology,Q
Cognitive Sciences,Q
Cognitive and Computational Psychology,Q
Commercial Law,R
Commercial Services,O
Communication and Media Studies,T
Communications Engineering,I
Communications Technologies,I
Complementary and Alternative Medicine,K
Computation Theory and Mathematics,A
Computer Hardware,H
Computer Software,H
Computer Vision and Multimedia Computation,H
Condensed Matter Physics,B
"Control Engineering, Mechatronics and Robotics",I
Criminology,P
Crop and Pasture Production,G
Cultural Studies,T
Curatorial and Related Studies,L
Curriculum and Pedagogy,M
Cybersecurity and Privacy,H
Data Format,H
Data Management and Data Science,H
Demography,P
Dentistry,K
Design,L
Design Practice and Management,L
Development Studies,P
Distributed Computing,H
Distributed Computing and Systems Software,H
Ecological Applications,E
Ecology,E
Econometrics,N
Economic Theory,N
"Education Policy, Sociology and Philosophy",M
Education Systems,M
Electrical Engineering,I
Electrical and Electronic Engineering,I
"Electronics, Sensors and Digital Hardware",I
Engineering Design,I
Engineering Practice and Education,I
Environmental Biotechnology,E
Environmental Engineering,I
Environmental Management,E
Environmental Science and Management,E
Environmental and Resources Law,R
Epidemiology,K
Evolutionary Biology,F
"Film, Television and Digital Media",S
Fisheries Sciences,G
Fluid Mechanics and Thermal Engineering,I
Food Sciences,G
Forestry Sciences,G
Gender Studies,P
Genetics,F
Geochemistry,D
Geoinformatics,I
Geology,D
Geomatic Engineering,I
Geophysics,D
"Graphics, Augmented Reality and Games",H
Health Services and Systems,K
"Heritage, Archive and Museum Studies",L
Historical Studies,U
History and Philosophy of Specific Fields,U
Horticultural Production,G
Human Geography,P
Human Movement and Sports Science,M
Human Resources and Industrial Relations,O
Human-Centred Computing,H
Hydrology,D
Immunology,F
Industrial Biotechnology,G
Information Systems,H
Inorganic Chemistry,C
Interdisciplinary Engineering,I
International and Comparative Law,R
Journalism and Professional Writing,T
Language Studies,T
Law,R
Law In Context,R
Legal Systems,R
Library and Information Studies,H
Linguistics,T
Literary Studies,T
Machine Learning,H
Macromolecular and Materials Chemistry,C
Manufacturing Engineering,I
Maori Law,R
Maritime Engineering,I
Marketing,O
Materials Engineering,I
Mathematical Physics,A
Mechanical Engineering,I
Medical Biochemistry and Metabolomics,K
Medical Biotechnology,K
Medical Microbiology,F
Medical Physiology,K
Medical and Biological Physics,B
Medicinal and Biomolecular Chemistry,C
Microbiology,F
Music,S
Nanotechnology,J
Neurosciences,F
Nuclear and Plasma Physics,B
Numerical and Computational Mathematics,A
Nursing,K
Nutrition and Dietetics,K
Oceanography,D
Oncology and Carcinogenesis,K
Ophthalmology and Optometry,K
Optical Physics,B
Organic Chemistry,C
Other Agricultural and Veterinary Sciences,G
Other Biological Sciences,F
Other Built Environment and Design,L
Other Chemical Sciences,C
Other Earth Sciences,D
Other Economics,N
Other Education,M
Other Engineering,I
Other Environmental Sciences,E
Other Human Society,P
Other Information and Computing Sciences,H
"Other Language, Communication and Culture",T
Other Law and Legal Studies,R
Other Medical and Health Sciences,K
Other Physical Sciences,B
Other Psychology,Q
Other Psychology and Cognitive Sciences,Q
Other Studies In Creative Arts and Writing,S
Other Studies In Human Society,P
Other Technology,J
"Pacific Peoples Culture, Language and History",T
Paediatrics,K
Paediatrics and Reproductive Medicine,K
Particle and High Energy Physics,B
Performing Arts,S
Performing Arts and Creative Writing,S
Pharmacology and Pharmaceutical Sciences,K
Philosophy,V
Physical Chemistry,C
Physical Chemistry (Incl. Structural),C
Physical Geography and Environmental Geoscience,D
Physiology,K
Plant Biology,F
Policy and Administration,P
Political Science,P
Pollution and Contamination,E
Private Law and Civil Obligations,R
Psychology,Q
Public Health,K
Public Health and Health Services,K
Public Law,R
Pure Mathematics,A
Quantum Physics,B
Religion and Religious Studies,T
Religious Studies,T
Reproductive Medicine,K
Resources Engineering and Extractive Metallurgy,I
Screen and Digital Media,S
Social Work,P
Social and Personality Psychology,Q
Sociology,P
Software Engineering,H
Soil Sciences,E
Specialist Studies In Education,M
Sports Science and Exercise,M
Statistics,A
"Strategy, Management and Organisational Behaviour",O
Synchrotrons and Accelerators,B
Theoretical and Computational Chemistry,C
Theory of Computation,A
Tourism,O
Transportation and Freight Services,O
"Transportation, Logistics and Supply Chains",O
Urban and Regional Planning,L
Veterinary Sciences,G
Visual Arts,S
Visual Arts and Crafts,S
Zoology,F
