code,level,panel
30,division,BSB
31,division,BSB
32,division,BSB
41,division,BSB
4201,group,BSB
4207,group,BSB
4208,group,BSB
4299,group,BSB
4503,group,BSB
4509,group,BSB
4515,group,BSB
3302,group,EIC
3303,group,EIC
40,division,EIC
4506,group,EIC
4512,group,EIC
4517,group,EIC
46,division,EIC
3301,group,HCA
3399,group,HCA
36,division,HCA
43,division,HCA
4401,group,HCA
4405,group,HCA
4499,group,HCA
4501,group,HCA
4507,group,HCA
4513,group,HCA
4519,group,HCA
4599,group,HCA
47,division,HCA
48,division,HCA
50,division,HCA
34,division,MPCE
37,division,MPCE
49,division,MPCE
51,division,MPCE
3304,group,SBE
35,division,SBE
38,division,SBE
39,division,SBE
42,division,SBE
44,division,SBE
45,division,SBE
52,division,SBE
