unique_id,wrong_orcid,correct_orcid,notes
DP230100688_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP190102983_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP170104546_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
IH150100006_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP160100119_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP130100109_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP110101095_ChienMingWang,0000-0002-8147-7673,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 7 separate 'Chien Ming Wang' records, not just DP170104546 as first found. ORCID 0000-0002-8147-7673 resolves via the ORCID Public API to Wenhui Duan (given=Wen Hui family=Duan), no trace of Wang in any name field. Recurrence across 7 grants for Wang (vs Duan's own 10 legitimate grants under the same ORCID) is consistent with a persistent error in ARC's own investigator record for Wang, not a series of independent one-off typos. Wang's own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
LP230200690_TraceyBunda,0000-0001-7013-2090,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 8 separate 'Tracey Bunda' records, not just DP240100968 as first found -- LP230200690, DP240100968, CE230100027, SR200200902, LE100100079, LE0989090, LE0882507, DI0560542. Re-verified directly against the ORCID Public API (forced refresh, not cache): 0000-0001-7013-2090 resolves unambiguously to Alexandra Lasczik -- given=Alexandra family=Lasczik, employment history 'Southern Cross University, Professor/Associate Dean since 2011' (matches DP240100968's own admin_org exactly), other_names all 'Alexandra'/'Lexi Cutcher' forms, zero trace of Bunda anywhere. The recurrence across 8 of Bunda's own grants is NOT evidence she owns this ORCID (unlike the Kashem/Muttaqi case, where recurrence was the primary evidence and ORCID's own record was uninformative) -- here the ORCID record itself is unambiguous and independently verifiable, so recurrence instead indicates a persistent error in ARC's own investigator profile record for Bunda that propagated across her whole grant history, not 8 independent typos. Tracey Bunda is a known, distinct Indigenous-studies scholar; her own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
DP240100968_TraceyBunda,0000-0001-7013-2090,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 8 separate 'Tracey Bunda' records, not just DP240100968 as first found -- LP230200690, DP240100968, CE230100027, SR200200902, LE100100079, LE0989090, LE0882507, DI0560542. Re-verified directly against the ORCID Public API (forced refresh, not cache): 0000-0001-7013-2090 resolves unambiguously to Alexandra Lasczik -- given=Alexandra family=Lasczik, employment history 'Southern Cross University, Professor/Associate Dean since 2011' (matches DP240100968's own admin_org exactly), other_names all 'Alexandra'/'Lexi Cutcher' forms, zero trace of Bunda anywhere. The recurrence across 8 of Bunda's own grants is NOT evidence she owns this ORCID (unlike the Kashem/Muttaqi case, where recurrence was the primary evidence and ORCID's own record was uninformative) -- here the ORCID record itself is unambiguous and independently verifiable, so recurrence instead indicates a persistent error in ARC's own investigator profile record for Bunda that propagated across her whole grant history, not 8 independent typos. Tracey Bunda is a known, distinct Indigenous-studies scholar; her own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
CE230100027_TraceyBunda,0000-0001-7013-2090,,"Grant-by-grant investigation (2026-08-21) found this ORCID on 8 separate 'Tracey Bunda' records, not just DP240100968 as first found -- LP230200690, DP240100968, CE230100027, SR200200902, LE100100079, LE0989090, LE0882507, DI0560542. Re-verified directly against the ORCID Public API (forced refresh, not cache): 0000-0001-7013-2090 resolves unambiguously to Alexandra Lasczik -- given=Alexandra family=Lasczik, employment history 'Southern Cross University, Professor/Associate Dean since 2011' (matches DP240100968's own admin_org exactly), other_names all 'Alexandra'/'Lexi Cutcher' forms, zero trace of Bunda anywhere. The recurrence across 8 of Bunda's own grants is NOT evidence she owns this ORCID (unlike the Kashem/Muttaqi case, where recurrence was the primary evidence and ORCID's own record was uninformative) -- here the ORCID record itself is unambiguous and independently verifiable, so recurrence instead indicates a persistent error in ARC's own investigator profile record for Bunda that propagated across her whole grant history, not 8 independent typos. Tracey Bunda is a known, distinct Indigenous-studies scholar; her own correct ORCID is not known -- field nulled, not substituted. Confirmed 2026-08-21."
