cluster_id,orcid
DP0451043_SusanOConnor,0000-0001-9381-078X
DP0343994_TerenceONeill,0000-0001-6485-6965
DP0452137_JefferyMalpas,0000-0003-4378-8937
DP110100881_TheodorusSloots,0000-0003-1643-1908
DP170102529_PhilipBland,0000-0002-4681-7898
DP0209045_FrankPate,0000-0002-0238-0217
DP130101651_LanfengDong,0000-0002-9857-6352
DP0774201_StephenBell,0000-0001-8409-4419
DP110100091_MichaelAdams,0000-0001-6918-4213
DP0556160_MichaelHooker,0009-0002-0867-7713
DE220100417_JathanSadowski,0000-0002-0324-708X
DE200100121_BenScheele,0000-0001-7284-629X
