cluster_id,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
DP0209245_JohannesHansLambers,27,Johannes (Hans) Lambers; Johannes Lambers,0000-0002-4118-2272,The University of Queensland; The University of Western Australia,Biochemistry and cell biology; Crop and pasture production; Ecology; Environmental engineering; Environmental management; Forestry Sciences; Plant biology,DP230101190_JohannesHansLambers; DP220100494_JohannesHansLambers; LP200100341_JohannesHansLambers; DP200101013_JohannesHansLambers; DP0343824_JohannesLambers; LP0347692_JohannesLambers; DP0343824_JohannesHansLambers; LP0347692_JohannesHansLambers; LP0211478_JohannesLambers; DP0209245_JohannesLambers; LP0211478_JohannesHansLambers; DP0209245_JohannesHansLambers; LP0776252_JohannesLambers; LP0774881_JohannesLambers; LP0774881_JohannesHansLambers; LP0776252_JohannesHansLambers; LP0669757_JohannesLambers; LP0669757_JohannesHansLambers; LP160100598_JohannesHansLambers; DP140100148_JohannesHansLambers; DP130100005_JohannesHansLambers; LP120200808_JohannesHansLambers; LP120200464_JohannesHansLambers; DP110101120_JohannesLambers; DP110101120_JohannesHansLambers; DP0985685_JohannesLambers; DP0985685_JohannesHansLambers,,
DP0209186_GeoffStevens,19,Geoff Stevens,0000-0002-5788-4682,The University of Melbourne; La Trobe University,Biochemistry and cell biology; Chemical engineering; Industrial biotechnology; Nanotechnology; Organic chemistry; Physical chemistry,LP0347302_GeoffStevens; LP0348954_GeoffStevens; DP0209186_GeoffStevens; DP0209690_GeoffStevens; LP0776373_GeoffStevens; LP0775073_GeoffStevens; DP0772689_GeoffStevens; LP0669452_GeoffStevens; LP0453483_GeoffStevens; DP160103949_GeoffStevens; LP160101417_GeoffStevens; LP160100182_GeoffStevens; LP160101317_GeoffStevens; LP140100650_GeoffStevens; LP130100305_GeoffStevens; DP120103073_GeoffStevens; LP110200415_GeoffStevens; LP0989575_GeoffStevens; DP0986384_GeoffStevens,,
DP0663953_KillugudiSwaminathaIyer,16,Killugudi Swaminatha-Iyer,,The University of Western Australia; Curtin University; The University of New South Wales,Biochemistry and Cell Biology; Biochemistry and cell biology; Biomedical engineering; Evolutionary biology; Macromolecular and Materials Chemistry; Materials engineering; Nanotechnology; Physical chemistry; Zoology,LP240100507_KillugudiSwaminathaIyer; LP220100185_KillugudiSwaminathaIyer; DP220103135_KillugudiSwaminathaIyer; DP220100553_KillugudiSwaminathaIyer; LP190100433_KillugudiSwaminathaIyer; DP190100831_KillugudiSwaminathaIyer; DP0663953_KillugudiSwaminathaIyer; DP180103573_KillugudiSwaminathaIyer; DP150104433_KillugudiSwaminathaIyer; LP140100762_KillugudiSwaminathaIyer; FT130101688_KillugudiSwaminathaIyer; LP120200660_KillugudiSwaminathaIyer; DP120103560_KillugudiSwaminathaIyer; LP100100812_KillugudiSwaminathaIyer; DP0988351_KillugudiSwaminathaIyer; LP0883914_KillugudiSwaminathaIyer,,
DP0558181_BenjaminNewell,16,Benjamin Newell,0000-0003-1898-205X,The University of Sydney; The University of New South Wales,Applied and developmental psychology; Applied economics; Cognitive and Computational Psychology; Cognitive and computational psychology,DP240102605_BenjaminNewell; DP220101592_BenjaminNewell; LP190100732_BenjaminNewell; DP0877510_BenjaminNewell; DP0770292_BenjaminNewell; DP0558181_BenjaminNewell; DP190101076_BenjaminNewell; DP190101675_BenjaminNewell; DP160101186_BenjaminNewell; LP150100608_BenjaminNewell; DP140101145_BenjaminNewell; FT110100151_BenjaminNewell; LP120100224_BenjaminNewell; DP120100266_BenjaminNewell; LP110100489_BenjaminNewell; DP110100797_BenjaminNewell,,
DP0208490_JoachimRubinstein,14,Joachim Rubinstein,0000-0002-5712-0113,The University of Sydney; The University of Melbourne,Applied mathematics; Numerical and computational mathematics; Pure mathematics,DP0344091_JoachimRubinstein; DP0208490_JoachimRubinstein; LP0882627_JoachimRubinstein; DP0772708_JoachimRubinstein; DP0664276_JoachimRubinstein; LP0453632_JoachimRubinstein; DP190102259_JoachimRubinstein; DP190102363_JoachimRubinstein; DP160104502_JoachimRubinstein; LP140100124_JoachimRubinstein; DP140103163_JoachimRubinstein; DP130103694_JoachimRubinstein; DP1095760_JoachimRubinstein; LP100200112_JoachimRubinstein,,
DP0342641_JunWang,13,Jun Wang,0000-0003-1699-3687,Curtin University; The University of New South Wales; Western Sydney University,Civil engineering; Manufacturing engineering,DP210101645_JunWang; DP190100559_JunWang; DP0342641_JunWang; DP0878285_JunWang; LP0667735_JunWang; DP0663479_JunWang; DP0451081_JunWang; DP180103689_JunWang; LP180100222_JunWang; DP170100643_JunWang; DP110103150_JunWang; DP110100690_JunWang; LP0989304_JunWang,,
DP0344167_JodieBradby,13,Jodie Bradby,0000-0002-9560-8400,The Australian National University; Deakin University,"Condensed Matter Physics; Condensed matter physics; Electrical engineering; Electronics, sensors and digital hardware; Materials engineering; Nanotechnology",DP240101678_JodieBradby; DP230100231_JodieBradby; DP0344167_JodieBradby; DP0880255_JodieBradby; LP0777007_JodieBradby; LP0455318_JodieBradby; DP190101438_JodieBradby; LP160100981_JodieBradby; DP140102331_JodieBradby; FT130101355_JodieBradby; LP120200509_JodieBradby; DP0986428_JodieBradby; LP0990012_JodieBradby,,
DP0451043_SusanOConnor,12,Susan O'Connor,0000-0001-9381-078X,The Australian National University; The University of Western Australia,Archaeology; Genetics,DP240100747_SusanOConnor; DP250104228_SusanOConnor; DP210101960_SusanOConnor; DP0878735_SusanOConnor; DP0878543_SusanOConnor; LP0776789_SusanOConnor; DP0556210_SusanOConnor; DP0451043_SusanOConnor; FL120100156_SusanOConnor; DP110101357_SusanOConnor; LP100200415_SusanOConnor; LP0882985_SusanOConnor,,
DP0208234_KiyonoriSuzuki,11,Kiyonori Suzuki,0000-0002-8659-6786,The University of New South Wales; Monash University,Chemical engineering; Materials engineering,LP210301332_KiyonoriSuzuki; LP190100294_KiyonoriSuzuki; DP0208234_KiyonoriSuzuki; DP0770531_KiyonoriSuzuki; DP0452954_KiyonoriSuzuki; DP180101023_KiyonoriSuzuki; LP150101085_KiyonoriSuzuki; DP140103041_KiyonoriSuzuki; LP120100137_KiyonoriSuzuki; LP100200465_KiyonoriSuzuki; DP0987632_KiyonoriSuzuki,,
DP0453236_PhilipHowlett,11,Philip Howlett,,University of South Australia; The University of Adelaide,Applied mathematics; Numerical and computational mathematics; Statistics,LP210100290_PhilipHowlett; DP0774504_PhilipHowlett; DP0877707_PhilipHowlett; LP0562427_PhilipHowlett; DP0559399_PhilipHowlett; DP0453236_PhilipHowlett; DP160101236_PhilipHowlett; LP150100749_PhilipHowlett; DP1096551_PhilipHowlett; LP110100136_PhilipHowlett; LP110100222_PhilipHowlett,,
