cluster_id,unique_id,split_label,notes
DP0209460_DavidMILLER,LP160101508_DavidMiller,coral_biologist,"David J Miller, ORCID 0000-0003-0291-9531, coral/evo-devo biology, JCU/ANU/OIST career since 1992"
DP0209460_DavidMILLER,DP250103482_DavidMiller,coral_biologist,"same, JCU, co-investigators David Bourne/Laura Rix/Sen-Lin Tang"
DP0209460_DavidMILLER,DP240102310_DavidMiller,coral_biologist,"same, JCU, co-investigators Mia Hoogenboom/Ira Cooke/Kate Quigley/Timothy Ravasi"
DP0209460_DavidMILLER,DP170104734_DavidMiller,coral_biologist,"same, JCU, co-investigators Aurelie Moya/David Bourne/Thomas Bosch"
DP0209460_DavidMILLER,DP1095343_DavidMiller,coral_biologist,"same, JCU, co-investigators Eldon Ball/Sylvain Foret/Thomas Bosch/Forest Rohwer/Rebecca Thurber/Noriyuki Satoh"
DP0209460_DavidMILLER,DP0344483_DavidMiller,coral_biologist,"same, ANU, co-investigator Eldon Ball"
DP0209460_DavidMILLER,DP0209460_DavidMiller,coral_biologist,"same, JCU, co-investigators Eldon Ball/Walter Gehring/Gerhard Technau (Pax6/eyeless discoverers -- evo-devo)"
DP0209460_DavidMILLER,DP0209460_DavidMILLER,coral_biologist,"same grant DP0209460, name-case variant of the row above (announcement/current), same person"
DP0209460_DavidMILLER,DP0664031_DavidMiller,philosophy_of_science,"a different, unrelated David Miller -- UNSW, sole investigator (no co-investigators at all), primary FOR 2202/370601 History and Philosophy of Science and Technology -- zero institutional or topical overlap with the coral biologist's 8 other grants"
DE120100110_JeeHyunKim,DE120100110_JeeHyunKim,jee_hyun_kim,"ORCID 0000-0002-1299-4300 confirmed: given=Jee Hyun family=Kim, employment Deakin/Florey Institute/Melbourne/Michigan/UNSW -- all psychology/neuroscience, matches this grant"
DE120100110_JeeHyunKim,DP150102496_JeeHyunKim,jee_hyun_kim,"same ORCID-confirmed person, Melbourne, Applied/Biological/Clinical psychology"
DE120100110_JeeHyunKim,FT220100351_JeeHyunKim,jee_hyun_kim,"same ORCID-confirmed person, Deakin, Biological/Cognitive psychology"
DE120100110_JeeHyunKim,DE120101493_HyunJinKim,hyun_jin_kim,"a different person -- reversed given-name order (Hyun Jin, not Jee Hyun), primary FOR 4303 Historical studies, eligible_org University of Sydney -- zero overlap with the ORCID-confirmed psychologist's other 3 grants"
DE120101580_PeterSmith,DE120101580_PeterSmith,peter_smith_health,"ORCID 0000-0001-8286-4563 confirmed: employment Monash University + Institute for Work and Health (Toronto, occupational health/epidemiology institute) -- matches this grant's Health services/Epidemiology/Demography FOR codes exactly"
DE120101580_PeterSmith,LP130100091_PeterSmith,peter_smith_health,"same ORCID-confirmed person, Monash, identical FOR profile (Health services/Epidemiology/Demography) to the grant above"
DE120101580_PeterSmith,LP0347295_PeterJamesSmith,peter_james_smith_stats,"a different person -- RMIT University, Statistics/Banking-finance -- zero RMIT or statistics/finance connection anywhere on the ORCID-confirmed health-services Peter Smith's record"
DE120101580_PeterSmith,LP0347295_PeterSmith,peter_james_smith_stats,"same grant as above (LP0347295), name-form variant of the RMIT statistician"
DE170100928_YunXiaoWang,DE170100928_YunXiaoWang,yun_xiao_wang,"University of Wollongong, Materials/Chemical/Mechanical engineering -- ORCID 0000-0003-1704-0829 present but its own record is too sparse (no employment listed) to directly corroborate; kept as its own group based on institution+field+given-name convergence with the grant below, separate from Xiao Hua Wang"
DE170100928_YunXiaoWang,DP220103301_YunXiaoWang,yun_xiao_wang,"same institution/field as the grant above, University of Wollongong"
DE170100928_YunXiaoWang,LP110100652_XiaoHuaWang,xiao_hua_wang,"a different person, moderate confidence (no ORCID corroboration available) -- UNSW not UOW, given name Xiao Hua not Yun-Xiao (shares only Xiao), Environmental management/Applied economics/Oceanography not Materials/Mechanical engineering -- three independent signals converge, though less decisive than the ORCID-confirmed splits above"
DP240102286_DavidPrice,LP0211991_DavidPrice,david_price_performing_arts,"2002 Performing Arts grant, Melbourne, 'Mr David Price' -- no ORCID, no external record found"
DP240102286_DavidPrice,DP240102286_DavidPrice,david_price_biostatistics,"2024 Applied Mathematics/Epidemiology grant, Melbourne, ORCID 0000-0003-0076-3123 -- A/Prof David Price, Doherty Institute, PhD Statistics (Adelaide 2015)"
LP100100437_RichardTaylor,LP100100437_RichardTaylor,richard_taylor_public_health,"UNSW 2010, Public Health -- same person as the UNE grant below"
LP100100437_RichardTaylor,LP160100257_RichardTaylor,richard_taylor_public_health,"UNE 2016, Public Health/Aboriginal & Torres Strait Islander health -- same person as the UNSW grant above"
LP100100437_RichardTaylor,LP160101784_RichardTaylor,richard_taylor_physics,"UQ 2017, Condensed Matter Physics/Materials Engineering -- different person, unrelated field and co-investigators"
DP0665616_MichaelAnderson,DP0665616_MichaelAnderson,michael_anderson_psychology,"UWA 2006, Psychology -- same person as the other UWA grant below"
DP0665616_MichaelAnderson,DP120102523_MichaelAnderson,michael_anderson_psychology,"UWA 2012, Psychology -- same person as the UWA grant above"
DP0665616_MichaelAnderson,LP0776532_MichaelAnderson,michael_anderson_arts_education,"Melbourne-admin 2007, Performing Arts and Creative Writing, w/ Robyn Ewing -- externally confirmed as Prof Michael Anderson, USyd Faculty of Arts, drama/theatre/arts-education, ORCID 0000-0002-4489-673X"
DP0665616_MichaelAnderson,LP0989687_MichaelAnderson,michael_anderson_arts_education,"Sydney 2009, Specialist Studies in Education, w/ Robyn Gibson -- same arts-education Michael Anderson as above"
DE160101207_ChristopherBrown,DE160101207_ChristopherBrown,christopher_brown_env_science,"Griffith 2016 DECRA, Environmental Science and Management"
DE160101207_ChristopherBrown,DP180103124_ChristopherBrown,christopher_brown_env_science,"Griffith 2018, Environmental Science and Management -- same person as the DECRA above"
DE160101207_ChristopherBrown,FT210100792_ChristopherBrown,christopher_brown_env_science,"University of Tasmania 2021 Future Fellowship, Environmental Science and Management -- same environmental scientist, institutional move Griffith->UTas"
DE160101207_ChristopherBrown,DP210103126_ChristopherBrown,christopher_brown_materials,"Griffith 2021, Materials Engineering, w/ Xiangdong Yao/Yi Jia/Jinlan Wang -- different person; raw ARC grant page shows him listed at Announcement but removed from the Current investigator snapshot"
DP1094070_JianLiu,DP1094070_JianLiu,jian_liu_nanotech,"UQ 2010, Nanotechnology/Biomedical engineering/Industrial biotechnology"
DP1094070_JianLiu,DP110101978_JianLiu,jian_liu_nanotech,"UQ 2011, Nanotechnology/Medical biotechnology, w/ Chengzhong Yu, Gaoqing Lu -- same nanotechnology career as above"
DP1094070_JianLiu,DP180100568_JianLiu,jian_liu_nanotech,"Curtin 2018, Nanotechnology/Materials engineering/Physical chemistry, w/ Jean-Pierre Veder, Roland De Marco, San Ping Jiang -- same nanotechnology career, UQ->Curtin"
DP1094070_JianLiu,LP150101158_JianLiu,jian_liu_chem_eng,"Curtin 2015, Chemical Engineering, w/ Shaomin Liu, Moses Tade, Gia Pham -- different person"
