cluster_id,split,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
DP0449696_DavidWilliams,3,12,David WILLIAMS; David Williams,,The Australian National University; The University of Queensland; The University of Melbourne,Applied Mathematics; Civil Engineering; Macromolecular and Materials Chemistry; Medical Physiology; Physical Geography and Environmental Geoscience; Physiology; Resources Engineering and Extractive Metallurgy,DP210102224_DavidWilliams; DP0450458_DavidWilliams; DP0449696_DavidWilliams; LP0348766_DavidWILLIAMS; LP0212910_DavidWILLIAMS; DP0772781_DavidWilliams; DP0770955_DavidWilliams; DP0664428_DavidWilliams; LP160101066_DavidWilliams; LP110201102_DavidWilliams; LP0989735_DavidWilliams; DP0986574_DavidWilliams,,
DP0663854_GregoryHearn,1,11,Gregory Hearn,,Queensland University of Technology; The University of Melbourne,"Communication and Media Studies; Film, Television and Digital Media; Information Systems; Policy and Administration",LP0349078_GregoryHearn; LP0219438_GregoryHearn; LP0882274_GregoryHearn; LP0776341_GregoryHearn; DP0663854_GregoryHearn; LP0669617_GregoryHearn; LP0454996_GregoryHearn; LP0453652_GregoryHearn; LP160101724_GregoryHearn; LP100100232_GregoryHearn; LP0991136_GregoryHearn,,
DP0346315_CordeliaSelomulya,1,10,Cordelia Selomulya,,The University of New South Wales; Monash University,Biomedical Engineering; Chemical Engineering; Food Sciences,LP210200831_CordeliaSelomulya; DP200100642_CordeliaSelomulya; DP250101468_CordeliaSelomulya; DP0346315_CordeliaSelomulya; DP150101058_CordeliaSelomulya; FT140101256_CordeliaSelomulya; LP140100922_CordeliaSelomulya; LP130101142_CordeliaSelomulya; DP120101194_CordeliaSelomulya; LP100200579_CordeliaSelomulya,,
DP0450363_RaymondFrost,1,8,Raymond Frost,,Queensland University of Technology; The University of Queensland; Macquarie University,Chemical Engineering; Civil Engineering; Environmental Engineering; Food Sciences; Physical Chemistry (Incl. Structural); Resources Engineering and Extractive Metallurgy,DP0450363_RaymondFrost; LP0219712_RaymondFrost; LP0235258_RaymondFrost; LP0776793_RaymondFrost; LP0668224_RaymondFrost; DP160102879_RaymondFrost; LP140100182_RaymondFrost; DP0987953_RaymondFrost,,
DP0209001_ChristopherCunneen,1,7,Christopher Cunneen,,University of Technology Sydney; The University of Sydney; The University of New South Wales; James Cook University,Criminology; Law,DP0209001_ChristopherCunneen; DP0877331_ChristopherCunneen; DP180101152_ChristopherCunneen; DP170100893_ChristopherCunneen; DP130100184_ChristopherCunneen; DP130101121_ChristopherCunneen; LP100200455_ChristopherCunneen,,
DP0209724_JetseKalma,1,7,Jetse Kalma,,The University of Melbourne; Monash University; The University of Newcastle,Civil Engineering; Environmental Engineering; Other Agricultural and Veterinary Sciences; Physical Geography and Environmental Geoscience,DP0209724_JetseKalma; LP0211929_JetseKalma; LP0211206_JetseKalma; DP0879212_JetseKalma; DP0557543_JetseKalma; DP0556941_JetseKalma; LP0455476_JetseKalma,,
DP0345648_BradleySherman,1,7,Bradley Sherman,,Griffith University; The University of Queensland,Communication and Media Studies; Law,LP0348051_BradleySherman; LP0347898_BradleySherman; DP0345648_BradleySherman; LP0347496_BradleySherman; FL150100104_BradleySherman; DP120101434_BradleySherman; DP0987639_BradleySherman,,
DP0343094_GerardMilburn,1,7,Gerard Milburn,,The University of Queensland; The University of New South Wales,"Atomic, Molecular, Nuclear, Particle and Plasma Physics; Mathematical Physics; Optical Physics; Philosophy; Quantum Physics",DP250102035_GerardMilburn; FF0348393_GerardMilburn; DP0343094_GerardMilburn; FF0776191_GerardMilburn; DP150101863_GerardMilburn; DP0986932_GerardMilburn; DP0985142_GerardMilburn,,
DP0773175_RickKrever,1,7,Rick Krever,,The University of Sydney; University of Tasmania; The University of Western Australia; The University of New South Wales; Monash University,"Accounting, Auditing and Accountability; Commercial Law; Law; Policy and Administration",DP230100702_RickKrever; DP0773175_RickKrever; DP180101837_RickKrever; DP180100167_RickKrever; DP130100281_RickKrever; LP120100183_RickKrever; LP110200267_RickKrever,,
DP0208021_RichardTerrell,1,7,Richard Terrell,,The Australian National University; Bond University,"Banking, Finance and Investment; Statistics",DP0208021_RichardTerrell; DP0770081_RichardTerrell; DP0558202_RichardTerrell; LP0562008_RichardTerrell; DP1092801_RichardTerrell; LP0989811_RichardTerrell; LP0883801_RichardTerrell,,
