variant,counterpart
!570358876!roepcke,!570358876!ropcke
!570358876!ropcke,!570358876!roepcke
$arhstroem,$arhstrom
$arhstrom,$arhstroem
"&#350;ahi,sueleyman","&#350;ahi,suleyman"
"&#350;ahi,suleyman","&#350;ahi,sueleyman"
&#350;enguel,&#350;engul
"&#350;enguel,goekhan","&#350;enguel,gokhan"
"&#350;enguel,goekhan","&#350;engul,goekhan"
"&#350;enguel,goekhan","&#350;engul,gokhan"
"&#350;enguel,gokhan","&#350;enguel,goekhan"
"&#350;enguel,gokhan","&#350;engul,goekhan"
"&#350;enguel,gokhan","&#350;engul,gokhan"
&#350;engul,&#350;enguel
"&#350;engul,goekhan","&#350;enguel,goekhan"
"&#350;engul,goekhan","&#350;enguel,gokhan"
"&#350;engul,goekhan","&#350;engul,gokhan"
"&#350;engul,gokhan","&#350;enguel,goekhan"
"&#350;engul,gokhan","&#350;enguel,gokhan"
"&#350;engul,gokhan","&#350;engul,goekhan"
&#350;uekran,&#350;ukran
&#350;ukran,&#350;uekran
&amp;#039;abduelkahir,&amp;#039;abdulkahir
&amp;#039;abdulkahir,&amp;#039;abduelkahir
&lt;roemisch,&lt;romisch
&lt;romisch,&lt;roemisch
&lt;siebenbuergen,&lt;siebenburgen
&lt;siebenburgen,&lt;siebenbuergen
&scedil;uekran,&scedil;ukran
&scedil;ukran,&scedil;uekran
''-a,''-aa
''-aa,''-a
''a,''aa
''aa,''a
'loefstedt,'lofstedt
'lofstedt,'loefstedt
'oeoci,'ooci
'ooci,'oeoci
(-mueller),(-muller)
(-muller),(-mueller)
(aa),(aae)
(aabo,(abo
(aae),(aa)
(aaeee-),(aeee-)
(aarhus,(arhus
(aarhus),(arhus)
(aase),(ase)
(abo,(aabo
(aeee-),(aaeee-)
(aezq),(azq)
(akda),(akdae)
(akdae),(akda)
(akeiu),(akeiue)
(akeiue),(akeiu)
(anatolia-,(anatoliae-
(anatoliae-,(anatolia-
(arag.goer.),(arag.gor.)
(arag.gor.),(arag.goer.)
(arhus,(aarhus
(arhus),(aarhus)
(ars.goer.),(ars.gor.)
(ars.gor.),(ars.goer.)
(ase),(aase)
(atchigucu),(atchigucue)
(atchigucu),(atchiguecu)
(atchigucu),(atchiguecue)
(atchigucue),(atchigucu)
(atchigucue),(atchiguecu)
(atchigucue),(atchiguecue)
(atchiguecu),(atchigucu)
(atchiguecu),(atchigucue)
(atchiguecu),(atchiguecue)
(atchiguecue),(atchigucu)
(atchiguecue),(atchigucue)
(atchiguecue),(atchiguecu)
(azq),(aezq)
(baehnemann),(bahnemann)
(baek),(bak)
(baerry),(barry)
(bahnemann),(baehnemann)
(bak),(baek)
(barry),(baerry)
(bioeg),(biog)
(biog),(bioeg)
(bjoern,(bjorn
(bjoern),(bjorn)
(bjorn,(bjoern
(bjorn),(bjoern)
(boegelein),(bogelein)
(boek),(bok)
(boeroczki),(boeroeczki)
(boeroczki),(boroczki)
(boeroczki),(boroeczki)
(boeroeczki),(boeroczki)
(boeroeczki),(boroczki)
(boeroeczki),(boroeczki)
(boesken),(bosken)
(bogelein),(boegelein)
(bok),(boek)
(boroczki),(boeroczki)
(boroczki),(boeroeczki)
(boroczki),(boroeczki)
(boroeczki),(boeroczki)
(boroeczki),(boeroeczki)
(boroeczki),(boroczki)
(bosken),(boesken)
(bruehl,(bruhl
(bruessel),(brussel)
(bruhl,(bruehl
(brussel),(bruessel)
(buchner),(buechner)
(buechner),(buchner)
